zaman,hata,detay
2026-05-20T15:33:30,Mevzuat sayıları beklenen değerlerle eşleşmedi.,"Yönerge: beklenen 149, bulunan 150 | Toplam: beklenen 226, bulunan 227"
2026-05-20T15:33:30,RuntimeError,"Mevzuat sayıları beklenen değerlerle eşleşmedi. Yönerge: beklenen 149, bulunan 150 | Toplam: beklenen 226, bulunan 227"
2026-05-20T17:17:15,Yeni mevzuat sayısı algılandı,Yeni mevzuat sayısı algılandı: 227
2026-05-21T06:18:39,Scrape denemesi başarısız (1/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T06:19:44,Scrape denemesi başarısız (2/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T06:19:44,Canlı scrape başarısız; mevcut veri korunuyor,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T06:23:11,Scrape denemesi başarısız (1/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T06:24:16,Scrape denemesi başarısız (2/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T06:24:16,Canlı scrape başarısız; mevcut veri korunuyor,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T07:33:07,Scrape denemesi başarısız (1/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T07:34:13,Scrape denemesi başarısız (2/2),"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
2026-05-21T07:34:13,Canlı scrape başarısız; mevcut veri korunuyor,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://detsis.gov.tr/birim/35955870/35955870/2026-05-20"", waiting until ""domcontentloaded""
"
